Total No. of APs,1248
Density,8.37583892617
Max,46
Min,1
Box No.,Total AP,Time Spent,Avg Speed,Traversal
400,0,0,0,0
401,0,0,0,0
402,0,0,0,0
403,0,0,0,0
404,0,0,0,0
405,0,0,0,0
406,0,0,0,0
407,2,17,29.1568254699,6
408,2,4,34.6733621885,1
409,0,0,0,0
410,0,0,0,0
411,0,0,0,0
412,0,0,0,0
413,17,369,15.9144631351,58
414,32,622,15.8782821717,69
415,0,0,0,0
416,0,17,10.4464617132,1
417,0,0,0,0
418,0,0,0,0
419,0,0,0,0
420,0,0,0,0
421,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
425,0,0,0,0
426,0,0,0,0
427,0,0,0,0
428,0,0,0,0
429,2,24,27.2054149084,8
430,0,3,42.8859834835,1
431,0,0,0,0
432,0,0,0,0
433,0,0,0,0
434,3,84,15.9837734461,20
435,31,807,15.5483439457,72
436,3,36,11.7707633947,3
437,0,20,7.98367389156,1
438,0,0,0,0
439,0,0,0,0
440,0,0,0,0
441,0,0,0,0
442,0,0,0,0
443,0,0,0,0
444,0,0,0,0
445,0,0,0,0
446,0,0,0,0
447,0,0,0,0
448,0,0,0,0
449,6,22,31.564391547,7
450,0,0,0,0
451,0,0,0,0
452,4,70,12.6729391558,11
453,42,988,12.3308382686,69
454,11,156,18.8084839938,36
455,2,10,13.3684198109,1
456,1,11,10.8662896703,1
457,0,0,0,0
458,0,0,0,0
459,0,0,0,0
460,2,25,27.7701585778,10
461,5,127,14.7976441801,17
462,46,975,14.0640730853,72
463,13,488,10.8701947872,57
464,0,11,15.1582014267,2
465,0,3,20.9656596541,1
466,0,0,0,0
467,0,0,0,0
468,0,0,0,0
469,43,1154,12.6034558701,73
470,7,198,15.7122339832,43
471,0,11,27.900280519,2
472,0,0,0,0
473,0,0,0,0
474,0,0,0,0
475,0,0,0,0
