First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-05-15 19:57:35,94:fe:22:b1:bf:7e,TRIBAL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-71,11,14.70514535,121.09838416
2018-05-15 19:57:35,00:13:33:de:5a:8c,PLDTHOMEDSLWASALAKSTUPIDO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-60,11,14.70514535,121.09838416
1970-01-01 08:00:00,2c:dd:95:f5:b7:72,,[WPA2-PSK-CCMP+TKIP][ESS],-68,1,14.70445514,121.09820879
2018-05-15 19:57:35,a0:ab:1b:75:44:94,dlink,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-83,1,14.70514535,121.09838416
2018-05-15 19:57:35,e4:77:23:a0:67:dc,bayanDSLWiFi_67DC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-69,10,14.70514535,121.09838416
2018-05-15 19:57:35,00:26:75:ac:46:5c,pascua family,[WPA-PSK-TKIP][WPA2-PSK-TKIP][WPS][ESS],-83,2,14.70514535,121.09838416
2018-05-15 19:57:35,48:fd:8e:4b:f4:c0,UnliSurfFREE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-86,5,14.70514535,121.09838416
2018-05-15 20:01:03,7c:8b:ca:31:2f:60,WAB HOTSPOT 2,[WPS][ESS],-48,5,14.70643024,121.09816522
2018-05-15 19:57:35,94:a7:b7:26:4f:d9,florencio,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-87,5,14.70514535,121.09838416
2018-05-15 19:57:35,cc:06:77:e2:87:c0,fayejiyahasnee,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-85,5,14.70514535,121.09838416
2018-05-15 19:57:35,50:04:b8:43:ae:be,B315_3AEBE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-84,5,14.70514535,121.09838416
2018-05-15 19:57:35,e0:8e:3c:21:3c:0f,Sarah gege,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-86,1,14.70514535,121.09838416
2018-05-15 19:57:51,e0:8e:3c:2f:3f:65,PLDTWIFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-65,1,14.70569161,121.09846818
