Total APs,1157
PLDT,293
BSSID,SSID,Encryption,Channel
2c:dd:95:f4:07:8a,PLDTHOMEDSL4078A,WPA2,6
00:13:33:e9:58:49,PLDTHOMEDSL_mo_to,WPA2,8
b8:ec:a3:44:9e:ef,PLDTWIFIMANGSIMON,WPA2/WPA,13
90:61:0c:40:ad:af,PLDTHOMEDSL44463,WPA2/WPA,1
90:61:0c:35:4a:ff,PLDTHOMEDSL19199,WPA2/WPA,1
94:46:96:19:53:79,PLDTHOMEDSLMWM00,WPA2/WPA,1
00:13:33:fc:e8:8a,PLDTHOMEDSL,WPA2/WPA,2
b8:ec:a3:42:a1:11,PLDTMyDSLBiz88080,WPA2/WPA,9
72:ec:a3:42:a1:12,PLDTMyDSLBiz_RSA,WPA2/WPA,9
e4:18:6b:bb:7e:4e,PLDTMyDSLBiz77840,WPA2/WPA,7
90:61:0c:2d:eb:52,PLDTHOMEDSL60242,WPA2/WPA,1
94:46:96:1d:30:3a,PLDTHOMEDSLCRCM0,WPA2/WPA,1
90:61:0c:2e:44:0c,PLDTHOMEDSL17420,WPA2/WPA,1
90:61:0c:35:41:2b,PLDTHOMEDSL_YenKc,WPA2/WPA,7
1c:74:0d:17:86:34,PLDTHOMEDSL63VRU,WPA2/WPA,10
1c:74:0d:16:63:78,PLDTHOMEDSLnapier,WPA2/WPA,4
90:61:0c:2e:0e:fa,PLDTHOMEDSLlipdide,WPA2/WPA,11
00:13:33:f0:0a:7d,PLDTHOMEDSLGanigan-Sulaiman,WPA2/WPA,1
94:46:96:1f:85:fb,PLDTHOMEDSLIMIV0,WPA2/WPA,3
00:13:33:d9:9f:cc,PLDTHOMEDSLkapalmo,WPA2/WPA,11
fc:8b:97:ec:45:b9,PLDTMyDSL,WPA2/WPA,11
94:46:96:14:9a:9d,PLDTHOMEDSL9M9R0,WPA2/WPA,11
f4:9e:ef:d1:67:f0,PLDTHOMEDSL167F0,WPA2/WPA,5
