WigleWifi-1.4,appRelease=2.25,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
cc:06:77:6f:f3:c0,prego,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,9,-65,14.65959002,121.0671013,123,4.550999641,WIFI
6c:3b:6b:ca:a0:d5,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:07,52,-83,14.65959002,121.0671013,123,4.550999641,WIFI
6c:3b:6b:ca:a3:ed,bnetsMesh,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:07,52,-78,14.65959002,121.0671013,123,4.550999641,WIFI
cc:06:77:6f:f3:c4,preg0,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,36,-61,14.65959002,121.0671013,123,4.550999641,WIFI
e0:8e:3c:1b:6d:7f,art circle gallery,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,1,-88,14.65959002,121.0671013,123,4.550999641,WIFI
6c:19:8f:c3:ad:2c,searching....,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,9,-88,14.65959002,121.0671013,123,4.550999641,WIFI
d0:04:92:02:3b:a8,PLDTHOMEFIBR_023ba8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,5,-67,14.6596321,121.067101,124,4.550999641,WIFI
6c:3b:6b:ca:a5:97,bnetsMesh,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:07,52,-83,14.6596321,121.067101,124,4.550999641,WIFI
34:ba:9a:57:05:27,BahalaKaSaWifiMo,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,7,-60,14.6596321,121.067101,124,4.550999641,WIFI
74:cc:39:30:f4:f8,PLDTHOMEFIBR_30f4f8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,10,-86,14.6596321,121.067101,124,4.550999641,WIFI
cc:06:77:6f:f3:c0,prego,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,9,-58,14.65967051,121.0671387,120,4.550999641,WIFI
6c:3b:6b:ca:a0:d5,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:07,52,-76,14.65967051,121.0671387,120,4.550999641,WIFI
74:cc:39:87:37:f8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,11,-86,14.65967051,121.0671387,120,4.550999641,WIFI
94:46:96:1d:8a:21,PLDTHOMEDSL7J7A0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,10,-87,14.65967051,121.0671387,120,4.550999641,WIFI
6c:19:8f:c3:ad:2e,dlink-AD2C-5GHz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,149,-89,14.65967051,121.0671387,120,4.550999641,WIFI
e0:8e:3c:22:2a:0b,bayanDSLWIFI_2A0B,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,11,-86,14.65967051,121.0671387,120,4.550999641,WIFI
d0:04:92:10:fb:d8,PLDTHOMEFIBRNoNetworkAvailable,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,12,-87,14.65967051,121.0671387,120,4.550999641,WIFI
74:cc:39:3c:f4:90,PLDTHOMEFIBRLG,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,6,-88,14.65967051,121.0671387,120,4.550999641,WIFI
6c:19:8f:c3:ad:2e,dlink-AD2C-5GHz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,149,-83,14.65968487,121.067199,118,4.550999641,WIFI
d0:04:92:10:fb:d8,PLDTHOMEFIBRNoNetworkAvailable,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,12,-80,14.65968487,121.067199,118,4.550999641,WIFI
51502_20213_13178,Globe,EDGE;ph,10/28/2017 13:07,0,-83,14.65968487,121.067199,118,4.550999641,GSM
6c:19:8f:c3:ad:2c,searching....,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,9,-78,14.65968683,121.0672562,118,4.550999641,WIFI
cc:06:77:62:de:8c,PLDTHOMEFIBR5G2de88,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,36,-88,14.65968683,121.0672562,118,4.550999641,WIFI
74:cc:39:3c:f4:90,PLDTHOMEFIBRLG,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,6,-80,14.65967656,121.0673093,118,4.550999641,WIFI
00:26:75:b7:9c:46,shinigami,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,1,-83,14.65967656,121.0673093,118,4.550999641,WIFI
6c:3b:6b:ca:a0:d5,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:07,52,-71,14.65967067,121.0673637,117,4.550999641,WIFI
6c:19:8f:c3:ad:2c,searching....,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,9,-70,14.65967067,121.0673637,117,4.550999641,WIFI
6c:19:8f:c3:ad:2e,dlink-AD2C-5GHz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,149,-74,14.65967067,121.0673637,117,4.550999641,WIFI
74:cc:39:3c:f4:90,PLDTHOMEFIBRLG,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,6,-68,14.65967067,121.0673637,117,4.550999641,WIFI
74:cc:39:8a:bd:18,PLDTHOMEFIBRabd18,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,8,-78,14.65967067,121.0673637,117,4.550999641,WIFI
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,6,-84,14.65967067,121.0673637,117,4.550999641,WIFI
4c:09:b4:a2:49:a1,bayanDSL,[WPA-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,1,-85,14.65967067,121.0673637,117,4.550999641,WIFI
6c:19:8f:c3:ad:2c,searching....,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,9,-58,14.6596709,121.0674143,118,4.550999641,WIFI
74:cc:39:87:37:f8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,11,-78,14.6596709,121.0674143,118,4.550999641,WIFI
74:cc:39:8a:bd:18,PLDTHOMEFIBRabd18,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,8,-72,14.6596709,121.0674143,118,4.550999641,WIFI
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,6,-77,14.6596709,121.0674143,118,4.550999641,WIFI
bc:98:89:12:fa:20,PLDTHOMEFIBR_12fa20,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,9,-89,14.6596709,121.0674143,118,4.550999641,WIFI
94:46:96:1d:8a:21,PLDTHOMEDSL7J7A0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,10,-77,14.65965988,121.0674582,118,4.550999641,WIFI
cc:06:77:62:de:8c,PLDTHOMEFIBR5G2de88,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,36,-81,14.65965988,121.0674582,118,4.550999641,WIFI
bc:98:89:12:fa:20,PLDTHOMEFIBR_12fa20,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,9,-78,14.65965988,121.0674582,118,4.550999641,WIFI
cc:06:77:62:de:8c,PLDTHOMEFIBR5G2de88,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,36,-73,14.65965478,121.0675042,118,4.550999641,WIFI
aa:a6:68:68:98:c6,Smart Bro_6898C6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,1,-82,14.65965478,121.0675042,118,4.550999641,WIFI
64:d1:54:2e:20:40,BNETS_2E2040,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:07,3,-88,14.65965478,121.0675042,118,4.550999641,WIFI
00:f4:6f:39:15:b3,AndroidAP,[WPA2-PSK-CCMP][ESS],10/28/2017 13:07,6,-85,14.65965478,121.0675042,118,4.550999641,WIFI
00:13:33:e1:c5:73,PLDTHOMEDSL_GUS,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,11,-90,14.65965478,121.0675042,118,4.550999641,WIFI
98:fc:11:c7:06:38,We have internet you dont,[WPS][WEP][ESS],10/28/2017 13:07,6,-87,14.65965478,121.0675042,118,4.550999641,WIFI
66:d1:54:2e:20:40,BAYANIHANETS,[ESS],10/28/2017 13:07,3,-87,14.65965478,121.0675042,118,4.550999641,WIFI
6c:3b:6b:ca:a0:d5,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:07,52,-61,14.65964153,121.0675486,118,4.550999641,WIFI
94:46:96:1d:8a:21,PLDTHOMEDSL7J7A0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,10,-60,14.65964153,121.0675486,118,4.550999641,WIFI
bc:98:89:12:fa:20,PLDTHOMEFIBR_12fa20,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,9,-68,14.65964153,121.0675486,118,4.550999641,WIFI
00:13:33:e1:c5:73,PLDTHOMEDSL_GUS,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,11,-70,14.65964153,121.0675486,118,4.550999641,WIFI
98:fc:11:c7:06:38,We have internet you dont,[WPS][WEP][ESS],10/28/2017 13:07,6,-82,14.65964153,121.0675486,118,4.550999641,WIFI
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,13,-79,14.65964153,121.0675486,118,4.550999641,WIFI
18:a3:e8:1f:7f:28,SORRYNOTSORRY,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,6,-87,14.65964153,121.0675486,118,4.550999641,WIFI
5c:f2:86:2e:f9:af,kmfrwifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,8,-91,14.65964153,121.0675486,118,4.550999641,WIFI
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,6,-66,14.6596357,121.0675935,117,4.550999641,WIFI
aa:a6:68:68:98:c6,Smart Bro_6898C6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,1,-77,14.6596357,121.0675935,117,4.550999641,WIFI
cc:06:77:21:04:28,Houseofgonz1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,11,-85,14.6596357,121.0675935,117,4.550999641,WIFI
51502_20213_13110,Globe,EDGE;ph,10/28/2017 13:07,0,-99,14.6596357,121.0675935,117,4.550999641,GSM
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:08,3,-76,14.65965511,121.0676426,117,4.550999641,WIFI
28:ff:3e:3d:e9:b5,bayandslENRIQUEZ,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:08,10,-85,14.65965511,121.0676426,117,4.550999641,WIFI
00:13:33:e1:c5:73,PLDTHOMEDSL_GUS,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:08,11,-62,14.65966421,121.0676944,116,4.550999641,WIFI
74:cc:39:30:4a:e0,PLDTHOMEFIBR_Maganda_Si_Girlie,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:08,3,-77,14.65966421,121.0676944,116,4.550999641,WIFI
cc:06:77:21:04:2c,Houseofgonz1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:08,36,-80,14.65966421,121.0676944,116,4.550999641,WIFI
51502_20213_13110,Globe,EDGE;ph,10/28/2017 13:08,0,-93,14.65966421,121.0676944,116,4.550999641,GSM
aa:a6:68:68:98:c6,Smart Bro_6898C6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:08,1,-72,14.65965389,121.0677406,116,4.550999641,WIFI
cc:06:77:21:04:28,Houseofgonz1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:08,11,-73,14.65965389,121.0677406,116,4.550999641,WIFI
18:a3:e8:1f:7f:28,SORRYNOTSORRY,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:08,6,-78,14.65965389,121.0677406,116,4.550999641,WIFI
cc:06:77:21:04:28,Houseofgonz1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:08,11,-62,14.65966218,121.0677937,116,4.550999641,WIFI
cc:06:77:21:04:2c,Houseofgonz1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:08,36,-68,14.65966218,121.0677937,116,4.550999641,WIFI
00:f4:6f:39:15:b3,AndroidAP,[WPA2-PSK-CCMP][ESS],10/28/2017 13:08,6,-75,14.65966218,121.0677937,116,4.550999641,WIFI
64:d1:54:2e:20:40,BNETS_2E2040,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:08,3,-83,14.65966218,121.0677937,116,4.550999641,WIFI
