Common in ALL,133
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
20:aa:4b:e7:30:7b,ELEANOR/ROUTER,[WPA2-PSK-CCMP][WPS][ESS],3,-86
f0:98:38:72:ba:c8,EPA MAIN-HUAWEI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1,-87
00:26:75:79:d0:73,VK0110,[WPA-PSK-CCMP+TKIP][ESS],2,-85
51502_30232_210464820,Globe,HSPA;ph,0,-92
28:ff:3e:3d:e7:00,bayanDSLWIFI_E700,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],7,-89
2c:4d:54:d9:fd:6c,Dunby_5G,[WPA2-PSK-CCMP][WPS][ESS],149,-83
98:de:d0:be:64:28,TP-LINK_6429_5G,[WPA2-PSK-CCMP][WPS][ESS],36,-87
c8:d7:19:1b:14:27,2017_Trojan_Virus!@&*%,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],48,-79
18:d6:c7:23:95:0f,admin,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],149,-86
c8:d7:19:1b:14:26,2017_Trojan_Virus!@&*%,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2,-82
51502_30232_210464817,Globe,HSPA;ph,0,-87
51502_30203_210454599,Globe,HSPA;ph,0,-89
cc:06:77:60:54:fc,fibr5,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-79
cc:06:77:21:70:84,tria,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-82
51502_30232_210454609,Globe,HSPA;ph,0,-91
50:04:b8:45:1d:5c,work,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1,-85
51502_30232_210446715,Globe,HSPA;ph,0,-85
5c:6a:80:a3:6f:38,PLDTMyDSLBiz5G69640,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],100,-84
7c:11:cb:6e:fe:af,Ramiyanarasam,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5,-85
51502_30232_210446713,Globe,HSPA;ph,0,-86
cc:06:77:6f:30:44,SAIGON PHO2,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-66
cc:06:77:6e:cd:90,PLDTHOMEFIBRecd90,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],4,-81
cc:06:77:6e:cf:0c,PLDTHOMEFIBR5Gecf08,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-89
ba:4e:26:4c:0e:e4,,[WPA2-PSK-CCMP][ESS],48,-89
34:ba:9a:56:46:66,kcenmor,[WPA2-PSK-CCMP][WPS][ESS],7,-87
e4:6f:13:68:9a:b4,Moonleaf Maginhawa,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1,-79
cc:06:77:6e:cd:94,PLDTHOMEFIBR5Gecd90,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-88
9c:6f:52:34:ff:b9,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1,-61
cc:06:77:60:3e:9c,PLDTHOMEFIBR5G03e98,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-84
cc:06:77:70:3f:34,PLDTHOMEFIBR5G03f30,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],40,-85
