Common,168
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
8c:18:d9:71:91:1b,Mitsubishi Wireless TV 908,[ESS],OPN,6,6,-82,-82
50:09:59:84:f1:91,SKYbroadbandF18E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-85,-88
7a:31:c1:75:6c:83,iPhone,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-86,-87
f6:9f:c2:57:be:90,Aralinks_Hub2,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-64,-76
fc:b4:e6:82:43:85,SKYbroadbandABA4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-88,-89
4c:f9:5d:85:9a:fc,RBCTY1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-86,-86
00:19:be:81:32:e2,Altai_Wifi,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-78,-82
78:c1:a7:24:27:66,Ragnarok1017,[WPA-PSK-CCMP+TKIP][WPS][ESS],WPA,1,1,-86,-86
f4:e3:fb:e5:49:fc,XRZ-850,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,5,-86,-74
32:cd:a7:f4:e7:de,DIRECT-TcM2070 Series,[WPA2-PSK-CCMP][WPS-AUTH][ESS],WPA2,1,1,-76,-79
90:61:0c:16:73:f9,PLDTMyDSL,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,11,11,-72,-82
bc:c0:0f:7b:d7:c0,FIBERHOME_bd7c0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-75,-76
08:95:2a:e4:85:d8,SKYbroadband624F,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-85,-89
1e:74:0d:02:3c:c8,PLDTMyDSLBizADMIN,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-84,-88
c8:93:46:48:56:58,Think_485658,[WPA2-PSK-CCMP][ESS],WPA2,2,1,-86,-88
f4:f2:6d:94:56:14,OrangeSegment1,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-77,-79
a4:2b:b0:c1:4c:87,SKYbroadband7B2C_EXT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-88,-85
e0:8e:3c:2d:fa:d5,bayanDSLWIFI_FAD5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-76,-78
80:13:82:58:e6:2c,HUAWEI-E62C,[WPA2-PSK-CCMP][ESS],WPA2,8,8,-74,-77
f0:98:38:07:78:bc,8386CGA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,7,-78,-79
34:ba:9a:55:c5:b6,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,4,-72,-80
00:90:a9:0e:55:0b,CallaoMan,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-64,-78
00:90:a9:10:89:7b,SunkenGalleon,[WPA2-PSK-CCMP][WPS][ESS],WPA2,6,6,-84,-83
00:90:a9:10:89:7c,GuestWiFi,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-82,-83
f0:98:38:07:ce:cc,HUAWEI-sJ8b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-72,-79
94:46:96:1d:46:ce,PLDTHOMEDSLUJU40,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-76,-78
70:5a:9e:84:02:80,MariaClare,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-71,-81
76:4a:a4:c9:3e:4c,CECILLE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-78,-83
cc:06:77:6f:30:40,SAIGON PHO1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,7,7,-71,-73
14:b7:f8:0b:38:33,Chibutt,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,-77
bc:c0:0f:7b:c2:08,FIBERHOME_bc208,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,3,7,-77,-67
88:d2:74:86:c4:cb,bayanDSLWIFI_C4CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-81,-82
ac:86:74:4a:09:53,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-82,-75
ac:86:74:4a:09:52,CloudTrax,[ESS],OPN,5,5,-80,-76
ec:8c:a2:30:ff:28,#SmartWifi @StrEATMag,[ESS],OPN,1,1,-80,-70
00:13:33:ea:7b:21,trendzoneqc,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-84,-77
90:61:0c:37:67:ff,PLDTHOMEDSL26623,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-73,-76
38:d8:2f:22:3d:48,bayanDSLWiFi_3D48,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,10,-65,-66
f0:98:38:f9:14:28,Fiber200,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,3,1,-73,-76
ac:f9:70:ec:e6:08,HUAWEI-7BDP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,8,6,-74,-78
cc:1a:fa:97:cf:b8,bayanDSL,[WPA-PSK-CCMP+TKIP][ESS],WPA,10,4,-64,-72
9c:6f:52:34:ff:b7,Fatpipe@Moonleaf,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-66,-76
9c:6f:52:34:ff:b6,Zentea,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,11,-64,-75
70:8b:cd:b2:7b:60,Flower Poopoo :3 ,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-87,-89
ba:4e:26:4c:0e:e3,,[WPA2-PSK-CCMP][ESS],WPA2,2,2,-84,-82
00:e0:20:3b:00:75,Extension 3,[WPA-PSK-CCMP][WPS][ESS],WPA,6,6,-85,-83
94:65:2d:23:6e:a5,FD-04,[ESS],OPN,11,11,-80,-73
fa:8f:ca:50:af:9a,,[ESS],OPN,11,11,-84,-83
cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-70,-78
74:cc:39:bb:51:38,AFMaginhawaOffice,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-88,-88
00:13:33:dc:91:af,PLDTHOMEDSLDAL1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-70,-81
00:13:33:e8:f8:31,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-88,-92
cc:06:77:e1:1f:90,PLDTHOMEFIBR11f90,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-80,-82
cc:06:77:22:fb:60,PLDTHOMEFIBR2fb60,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-87,-81
00:13:33:fb:45:3b,,[ESS],OPN,1,1,-85,-88
00:13:33:fb:45:3c,,[ESS],OPN,1,1,-88,-88
90:61:0c:2a:47:af,Marco,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-74,-87
90:61:0c:2e:d5:16,PLDTHOMEDSL54550,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-86,-85
b0:c1:9e:30:5e:25,SmartBro_305E25,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-87,-77
00:13:33:e3:b0:3b,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-84,-84
00:13:33:ea:87:f5,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-80,-84
00:24:01:b8:d1:9d,FRANCISCO-PC_Network,[WPA2-PSK-CCMP][WPS][ESS],WPA2,6,6,-76,-84
94:46:96:18:f3:11,PLDTHOMEDSL7Y7Y0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-84,-80
e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,-83
b0:c1:9e:49:f6:70,salt to the sea,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-84,-86
00:13:33:f4:2a:f6,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-72,-81
00:1f:fb:a5:21:19,jennyjuly06,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-86,-89
e8:cd:2d:7f:11:4d,glyph,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,8,8,-72,-72
94:a7:b7:26:71:7f,bayanDSLWIFI_717F,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-80,-87
00:13:33:c1:f2:fb,PLDTHOMEDSLRR,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-76,-85
cc:06:77:63:37:90,Estivlings,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,4,1,-81,-78
40:cb:a8:90:46:e2,Broadband@work,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-74,-76
94:46:96:0e:28:69,PLDTHOMEDSLanamaria,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-68,-70
e0:8e:3c:2f:67:01,bayanDSLWIFI_6701,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,11,-69,-81
90:61:0c:35:8c:13,PLDTHOMEDSL35859,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-67,-75
94:46:96:1e:f1:2c,PLDTHOMEDSL2Y2Y0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-71,-77
2a:17:23:00:04:77,EVOHOTSPOT 8,[ESS],OPN,6,6,-65,-65
0a:17:23:00:04:8f,EVOHOTSPOT 2,[ESS],OPN,1,1,-61,-71
00:13:33:fc:69:69,PLDTHOMEDSLGRABTAPSI,[WPA2-PSK-CCMP][ESS],WPA2/WPA,11,6,-65,-79
00:23:69:26:de:f7,maja,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,5,5,-81,-83
e0:8e:3c:1a:e6:07,bayanDSLWIFI_E607,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,10,10,-73,-71
1a:17:23:00:04:77,EVOHOTSPOT 7,[ESS],OPN,6,6,-61,-71
0a:17:23:00:04:77,EVOHOTSPOT 6,[ESS],OPN,6,6,-62,-66
e0:8e:3c:1b:65:b7,Calma family,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-86,-83
28:ff:3e:3d:e8:19,bayanDSLWIFI_E819,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,10,-75,-75
00:13:33:fa:e4:77,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-83,-76
00:13:33:d4:a9:4f,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-86,-80
9c:6f:52:35:1e:06,bayanDSLWIFI_1E06,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-72,-68
74:cc:39:bc:bc:a2,EDONG-EVOLUTION,[ESS],OPN,10,10,-89,-83
00:13:33:fd:b7:fb,PLDTHOMEDSLLUCERO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-84,-85
08:17:23:00:04:8f,EVOHOTSPOT 1,[ESS],OPN,1,1,-36,-70
1a:17:23:00:04:8f,EVOHOTSPOT 3,[ESS],OPN,1,1,-37,-69
