GPS Time,LastUpdt(WDB),MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude,Box No.,Box Time,Box Speed,Box Traversal,Persistence,Dates Seen
2018-04-03 00:34:40.781744,2017-07-29 21:00:00,00:13:33:ea:7b:21,trendzoneqc,WPA2/WPA,-46,5,Baudtec,Unidentified,14.646378,121.059125,6,99,13.6206605204,15,64,"04/05/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018, 04/13/2018, "
2018-04-05 14:31:58,2017-10-26 14:00:00,90:61:0c:2e:d5:16,PLDTHOMEDSL54550,WPA2/WPA,-74,1,FidaInte,Broadband,14.646572,121.06092,10,23,9.32618987375,1,2,"04/05/2018, 04/02/2018, "
2018-04-05 13:14:45,2016-02-27 15:00:00,fc:b4:e6:4a:e2:16,SKYbroadbandE7D3,WPA2/WPA,-80,1,AskeyCom,Broadband,14.646082,121.057698,12,41,24.1440756755,6,3,"04/10/2018, 04/05/2018, 04/10/2018, "
2018-04-05 13:14:50,2016-02-27 15:00:00,e8:de:27:ca:84:28,TP-LINK_CA8428,WPA2/WPA,-65,4,Tp-LinkT,Unidentified,14.646015,121.057985,12,41,24.1440756755,6,6,"04/05/2018, 04/10/2018, 04/13/2018, "
2018-04-03 01:52:46.353858,2017-07-29 21:00:00,00:90:a9:0e:55:0b,CallaoMan,WPA2,-62,11,WesternD,Unidentified,14.646312,121.058867,14,100,18.0238768014,7,40,"04/13/2018, 03/22/2018, 04/05/2018, 03/14/2018, 04/03/2018, 04/13/2018, 04/10/2018, "
2018-04-10 17:57:06,2017-07-29 21:00:00,00:90:a9:10:89:7b,SunkenGalleon,WPA2,-61,6,WesternD,Unidentified,14.646137,121.058918,14,100,18.0238768014,7,30,"04/02/2018, 04/03/2018, 04/05/2018, 03/14/2018, 04/10/2018, 04/02/2018, 04/13/2018, "
2018-04-10 18:06:24,2017-07-29 21:00:00,90:61:0c:11:8d:26,PLDTMyDSL,WPA2/WPA,-67,11,FidaInte,Broadband,14.64607,121.05887,14,100,18.0238768014,7,19,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018, 04/13/2018, 04/10/2018, "
2018-04-10 17:57:06,2017-07-29 21:00:00,00:90:a9:10:89:7c,GuestWiFi,WPA2,-60,6,WesternD,Unidentified,14.646137,121.058918,14,100,18.0238768014,7,31,"04/02/2018, 04/03/2018, 04/05/2018, 03/14/2018, 04/10/2018, 04/13/2018, 04/02/2018, "
2018-04-10 17:57:41,2017-06-09 13:00:00,1c:74:0d:17:c9:a0,PLDTHOMEDSL29VC1,WPA2/WPA,-66,5,ZyxelCom,Broadband,14.646262,121.058928,14,100,18.0238768014,7,8,"04/03/2018, 04/05/2018, 04/13/2018, 03/14/2018, 04/10/2018, "
2018-04-03 02:07:03.122785,2017-07-29 21:00:00,00:13:33:df:9b:b8,PLDTHOMEDSL,WPA2/WPA,-51,11,Baudtec,Broadband,14.64634,121.059177,15,189,15.1206792181,17,33,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/13/2018, 04/10/2018, "
2018-03-22 21:30:35.925812,2017-07-29 21:00:00,30:b5:c2:b5:33:12,FatPipe@BosCoffee,OPN,-73,13,Tp-LinkT,Unidentified,14.646157,121.059723,16,196,17.0479530654,17,5,"03/22/2018, 03/14/2018, 03/22/2018, "
2018-04-03 00:34:52.238291,2017-07-29 21:00:00,14:b7:f8:0b:38:33,Chibutt,WPA2/WPA,-57,11,Technico,Unidentified,14.646287,121.059657,16,196,17.0479530654,17,22,"04/02/2018, 04/03/2018, "
2018-04-03 01:18:49.751125,2017-06-09 13:00:00,bc:c0:0f:1f:c2:f0,PLDTHOMEFIBRfc2f0,WPA2/WPA,-79,1,Fiberhom,Fiber,14.64624,121.059643,16,196,17.0479530654,17,4,"03/22/2018, 04/03/2018, "
