SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
G10b@L WiFi,00:1A:70:ED:38:7E,14.64349556,121.06108856,wep,infra,20130309-00000,"2013-03-10, 02:00:00 AM","2013-12-01, 04:00:00 AM","2013-12-01, 02:00:00 AM"
CD-R_KING,00:1A:EF:06:56:3D,14.64281368,121.05944061,none,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
JBISCAYDA,00:1B:11:87:21:72,14.64678764,121.06034851,wep,infra,20131110-00000,"2013-11-10, 03:00:00 AM","2015-09-16, 05:00:00 PM","2015-09-16, 05:00:00 PM"
PLDT Smart WiFi Zone,00:18:25:05:95:E0,14.64668655,121.0586853,unknown,infra,20170303-00000,"2017-03-04, 03:00:00 AM","2017-04-04, 12:00:00 PM","2017-04-04, 12:00:00 PM"
_UP,00:18:25:03:5B:A0,14.64344692,121.06046295,none,infra,20130208-00000,"2013-02-09, 12:00:00 AM","2017-01-29, 06:00:00 PM","2017-01-29, 06:00:00 PM"
PLDT Smart WiFi Zone,00:18:25:03:5C:A0,14.64660358,121.05941772,none,infra,20130207-00000,"2013-02-08, 06:00:00 AM","2014-08-05, 02:00:00 PM","2015-07-26, 08:00:00 AM"
PLDT Smart WiFi Zone,00:18:25:03:49:C0,14.64614105,121.06006622,none,infra,20130207-00000,"2013-02-08, 05:00:00 AM","2017-05-07, 01:00:00 PM","2017-05-07, 01:00:00 PM"
PLDT Smart WiFi Zone,00:18:25:03:49:F0,14.64680004,121.05838776,unknown,infra,20170303-00000,"2017-03-04, 03:00:00 AM","2017-04-04, 12:00:00 PM","2017-04-04, 12:00:00 PM"
imeinc,00:19:E3:FB:7C:AE,14.64530277,121.05734253,wpa2,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
MRS,00:18:4D:95:5D:B0,14.64618492,121.05986023,wpa,infra,20130222-00000,"2013-02-23, 06:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
