GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-10 17:20:36,2018-04-03 15:35:32.909879,08:95:2a:89:35:37,SKYbroadbandA450,WPA2/WPA,-77,6,Technico,none,14.647253,121.057475
2018-04-10 17:20:54,2018-04-03 15:35:50.118718,4c:8b:ef:2d:9e:4b,4GEEHuaweiE5776-9E4B,WPA2/WPA,-63,6,HuaweiTe,none,14.648140,121.057080
2018-04-10 17:20:36,2018-04-03 15:35:33.252157,fe:ec:da:07:01:a2,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-80,6,None,none,14.647253,121.057475
2018-04-10 17:20:54,2018-04-03 15:35:51.041972,7a:8a:20:67:75:b7,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-64,6,None,none,14.648140,121.057080
2018-04-10 17:20:35,2018-04-03 15:35:31.695596,c8:93:46:48:60:c6,Think_4860C6,WPA2,-88,5,Mxchip,none,14.647232,121.057480
2018-04-10 17:20:53,2018-04-03 15:35:49.958790,f2:9f:c2:4f:fc:46,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-64,6,None,none,14.648078,121.057097
2018-04-10 17:20:36,2018-04-03 15:35:32.892650,f2:9f:c2:91:17:d9,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-84,6,None,none,14.647253,121.057475
2018-04-10 17:20:55,2018-04-03 15:35:51.116545,b0:4e:26:c9:77:1f,UNIFI MAIN,WPA2/WPA,-63,6,Tp-LinkT,none,14.648202,121.057062
2018-04-10 18:06:38,2018-04-03 16:21:34.330011,cc:06:77:21:70:80,zab,WPA2/WPA,-75,7,Fiberhom,none,14.646467,121.059157
2018-04-10 17:20:39,2018-04-03 15:35:35.357725,ac:f9:70:ec:e7:f4,HomeWifi,WPA2/WPA,-88,7,HuaweiTe,none,14.647348,121.057410
2018-04-10 17:20:58,2018-04-03 15:35:54.075457,f4:e3:fb:e5:49:fc,XRZ-850,WPA2/WPA,-60,8,HuaweiTe,none,14.648373,121.057020
2018-04-10 17:58:04,2018-04-03 16:13:00.843380,cc:06:77:5c:bd:58,OSPLDT2_4G,WPA2/WPA,-87,7,Fiberhom,none,14.646017,121.057970
2018-04-10 17:20:41,2018-04-03 15:35:37.497835,34:ba:9a:57:6b:6f,Wifikoto,WPA2,-82,9,Asiatelc,none,14.647430,121.057353
2018-04-10 17:20:42,2018-04-03 15:35:38.567960,e4:7d:eb:0f:16:e7,R01_F16E7,WPA2,-85,10,Shanghai,none,14.647475,121.057320
2018-04-10 17:20:45,2018-04-03 15:35:41.347053,7a:8a:20:67:74:c0,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-65,11,None,none,14.647627,121.057243
2018-04-10 17:23:34,2018-04-03 15:38:30.801544,92:3b:ad:10:26:8e,ORBI86,WPA2,-75,10,None,none,14.648803,121.057395
2018-04-10 17:20:44,2018-04-03 15:35:40.431118,00:13:33:e1:c7:ec,xNonex,WPA2/WPA,-60,11,Baudtec,none,14.647572,121.057263
2018-04-10 17:20:42,2018-04-03 15:35:38.714824,34:97:f6:5d:3b:d8,KAPE_GUEST,WPA2,-88,10,AsustekC,none,14.647475,121.057320
2018-04-10 17:23:34,2018-04-03 15:38:30.478278,96:3b:ad:10:26:8e,xNonex,WPA2,-76,10,None,none,14.648803,121.057395
2018-04-10 17:20:44,2018-04-03 15:35:40.413900,90:61:0c:2d:88:5b,Nuat Thai 80 Maginhawa,WPA2,-86,11,FidaInte,none,14.647572,121.057263
2018-04-10 17:20:43,2018-04-03 15:35:39.243680,f2:9f:c2:4f:fe:49,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-85,11,None,none,14.647522,121.057290
2018-04-10 17:20:43,2018-04-03 15:35:39.379755,90:61:0c:18:05:ad,PLDTMyDSL-D.N.D,WPA2/WPA,-92,11,FidaInte,none,14.647522,121.057290
2018-04-10 17:20:45,2018-04-03 15:35:41.748014,00:13:33:e1:c7:e9,PLDTHOMEDSL,WPA2/WPA,-65,11,Baudtec,none,14.647627,121.057243
2018-04-10 17:20:44,2018-04-03 15:35:40.395973,00:13:33:e1:7d:fc,PLDTHOMEDSL,WPA2/WPA,-86,11,Baudtec,none,14.647572,121.057263
2018-04-10 17:20:43,2018-04-03 15:35:39.488527,1a:74:2e:bc:c2:22,xNonex,WPA2,-86,11,None,none,14.647522,121.057290
2018-04-10 17:20:43,2018-04-03 15:35:39.622079,7a:8a:20:67:7b:bb,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-86,13,None,none,14.647522,121.057290
2018-04-10 17:20:44,2018-04-03 15:35:41.079108,00:26:75:79:72:04,ThePlaceToBe,WPA2,-77,11,AztechEl,none,14.647572,121.057263
2018-04-10 17:20:44,2018-04-03 15:35:40.307432,00:13:33:db:90:5c,PLDTHOMEDSL,WPA2/WPA,-86,11,Baudtec,none,14.647572,121.057263
