First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-04-24 22:04:45,e0:8e:3c:33:d8:ef,Aztech5068_3D8EF,[WPA-PSK-CCMP+TKIP][ESS],-84,1,14.64620246,121.06090727
2018-04-24 23:39:19,cc:06:77:6f:30:44,SAIGON PHO2,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-55,36,14.64583906,121.06061979
2018-04-24 22:05:20,cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-59,1,14.64584,121.06096836
2018-04-24 23:39:23,cc:06:77:6f:30:40,SAIGON PHO1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-56,7,14.645813,121.06064798
2018-04-24 22:05:08,cc:06:77:e1:7c:c8,PLDTHOMEFIBR17cc8,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-72,1,14.64596238,121.0609683
2018-04-24 22:04:45,90:61:0c:2e:02:f4,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-88,11,14.64620246,121.06090727
2018-04-24 23:37:06,51502_30232_210454612,Globe,HSPA;ph,-69,0,14.64625278,121.05964999
2018-04-24 22:05:14,cc:06:77:60:3e:9c,PLDTHOMEFIBR5G03e98,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-63,36,14.64589827,121.06098223
2018-04-24 22:04:52,28:ff:3e:3d:de:c0,chase,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-86,5,14.64613313,121.06090702
2018-04-24 22:04:56,00:13:33:ea:87:f5,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-82,11,14.64607358,121.06093112
2018-04-24 22:05:12,90:61:0c:2a:47:af,Marco,[WPA2-PSK-CCMP][WPS][ESS],-79,11,14.64592142,121.06098335
2018-04-24 22:05:14,ac:f9:70:ec:2d:e0,HUAWEI-U8YK,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-78,9,14.64589827,121.06098223
2018-04-24 23:39:33,28:10:7b:f1:02:bc,Diliman Bible Church,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-78,11,14.64574085,121.06071267
2018-04-24 23:39:33,cc:06:77:e1:1f:94,Madraso,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-80,36,14.64574085,121.06071267
2018-04-24 23:39:33,00:13:33:dc:91:af,PLDTHOMEDSLDAL1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-64,11,14.64574085,121.06071267
2018-04-24 23:39:19,5c:6a:80:1a:25:c6,SNOW CREME,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-51,13,14.64583906,121.06061979
2018-04-24 23:40:04,cc:06:77:e1:1f:90,Madraso,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-76,6,14.64547361,121.06085977
2018-04-24 22:05:30,70:28:8b:dd:98:93,AndroidAP,[WPA2-PSK-CCMP][ESS],-78,1,14.64574735,121.06097081
2018-04-24 22:05:20,10:d3:8a:1f:12:38,B9AU-aWNlemFo,[ESS],-86,6,14.64584,121.06096836
2018-04-24 22:05:26,cc:06:77:e1:7c:cc,PLDTHOMEFIBR5G17cc8,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-88,36,14.64578678,121.06098484
2018-04-24 23:39:33,20:25:64:c6:89:a5,963c41,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-87,1,14.64574085,121.06071267
2018-04-24 22:05:34,ac:83:f3:c4:fa:e2,midr-cardvr-v1_midevfae2,[WPA2-PSK-CCMP][ESS],-68,1,14.64571396,121.06094983
2018-04-24 22:05:38,78:62:56:13:66:b7,HUAWEI-66B7,[WPA2-PSK-CCMP][ESS],-76,1,14.64569878,121.06094181
2018-04-24 23:40:16,00:e0:20:3b:00:75,Tenda_4377D0_Ext 4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-67,3,14.64538222,121.06091391
2018-04-24 22:06:57,00:13:33:e1:9b:5c,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-69,11,14.64503682,121.0609603
2018-04-24 23:36:37,e0:8e:3c:2d:fa:d5,bayanDSLWIFI_FAD5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-66,11,14.64632039,121.05942393
2018-04-24 22:06:21,94:46:96:18:f4:c9,PLDTHOMEDSL7G7G0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-61,4,14.64533917,121.06095471
2018-04-24 22:06:49,00:13:33:ed:60:4c,B79e,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-66,6,14.64510983,121.06097526
2018-04-24 22:06:21,90:61:0c:40:d8:7e,PLDTHOMEDSL55422,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-80,1,14.64533917,121.06095471
2018-04-24 22:06:37,00:13:33:e8:f8:31,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-65,11,14.64522001,121.06100138
2018-04-24 22:06:41,18:de:d7:34:4c:cc,HUAWEI-uAu6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-71,8,14.64517872,121.06098988
2018-04-24 22:06:49,cc:06:77:61:f6:0c,PLCPD,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-82,36,14.64510983,121.06097526
2018-04-24 23:40:16,cc:06:77:61:f6:08,PLCPD,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-78,6,14.64538222,121.06091391
2018-04-24 22:06:49,00:13:33:e1:c5:5a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-66,5,14.64510983,121.06097526
2018-04-24 22:06:21,e0:8e:3c:21:d1:67,bayanDSLWIFI_D167,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-86,1,14.64533917,121.06095471
2018-04-24 22:07:01,8c:4c:ad:01:f0:ad,TagsulokAko,[WPA2-PSK-CCMP][WPS][ESS],-72,8,14.64501293,121.06096441
2018-04-24 22:07:13,84:c9:b2:52:16:e9,A4 Site,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-72,6,14.64494063,121.06096866
