Total APs,1026
PLDT,205
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-24 22:06:45,2018-04-24 14:06:45.803050,00:13:33:ea:82:37,PLDTHOMEDSL,WPA2/WPA,-71,11,Baudtec,Broadband,14.645197,121.060832
2018-04-24 22:06:45,2018-04-24 14:06:46.429384,1c:74:0d:1a:d8:94,PLDTHOMEDSLO5EOF,WPA2/WPA,-82,9,ZyxelCom,Broadband,14.645197,121.060832
2018-04-24 22:05:52,2018-04-24 14:05:52.688964,00:13:33:dc:c2:92,PLDTHOMEDSLLVMANN,WPA2/WPA,-83,11,Baudtec,Broadband,14.645682,121.060823
2018-04-24 22:06:27,2018-04-24 14:06:27.845716,cc:06:77:60:52:70,PLDTHOMEFIBR05270,WPA2/WPA,-81,10,Fiberhom,Fiber,14.645442,121.060912
2018-04-24 22:07:14,2018-04-24 14:07:15.199804,00:13:33:f4:45:9f,PLDTHOMEDSLMIRANDA,WPA2/WPA,-72,2,Baudtec,Broadband,14.644937,121.060910
2018-04-24 22:08:18,2018-04-24 14:08:19.298021,94:46:96:1f:ef:be,PLDTHOMEDSLURUW0,WPA2/WPA,-60,5,Baudtec,Broadband,14.644310,121.060818
2018-04-24 22:07:36,2018-04-24 14:07:36.925293,00:13:33:da:f9:62,PLDTHOMEDSL,WPA2/WPA,-71,6,Baudtec,Broadband,14.644710,121.060870
2018-04-24 22:07:52,2018-04-24 14:07:53.499515,94:46:96:19:2a:3e,PLDTHOMEDSLNFNQ0,WPA2/WPA,-69,3,Baudtec,Broadband,14.644587,121.060857
2018-04-24 22:09:23,2018-04-24 14:09:24.663203,90:61:0c:3a:82:73,PLDTHOMEDSL33395,WPA2/WPA,-61,1,FidaInte,Broadband,14.643843,121.061068
2018-04-24 22:08:18,2018-04-24 14:08:19.902802,1c:74:0d:19:23:a8,PLDTHOMEDSLhuehue,WPA2/WPA,-91,8,ZyxelCom,Broadband,14.644310,121.060818
2018-04-24 22:08:22,2018-04-24 14:08:22.428468,90:61:0c:3e:57:d6,PLDTHOMEDSL22486,WPA2/WPA,-91,10,FidaInte,Broadband,14.644347,121.060963
2018-04-24 22:08:27,2018-04-24 14:08:27.490010,00:13:33:dc:90:56,PLDTHOMEDSLBLinDsPoT_Gaming,WPA2/WPA,-80,1,Baudtec,Broadband,14.644330,121.060990
2018-04-24 22:10:26,2018-04-24 14:10:27.160620,cc:06:77:6f:1c:c8,PLDTHOMEFIBRf1cc8,WPA2/WPA,-83,1,Fiberhom,Fiber,14.643185,121.061132
2018-04-24 22:12:00,2018-04-24 14:12:00.831748,00:13:33:ea:70:85,PLDTHOMEDSLniXyrol,WPA,-72,11,Baudtec,Broadband,14.642907,121.060447
2018-04-24 22:12:04,2018-04-24 14:12:05.144269,00:13:33:fb:d8:91,PLDTHOMEDSL,WPA2/WPA,-90,1,Baudtec,Broadband,14.642900,121.060412
2018-04-24 22:12:20,2018-04-24 14:12:20.737457,90:61:0c:10:3d:74,PLDTMyDSL,WPA2/WPA,-93,11,FidaInte,Broadband,14.642905,121.060268
