SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
Aztech5001_initAzt,00:26:75:82:E0:C9,14.6865654,121.08691406,wpa,infra,20130506-00000,"2013-05-07, 12:00:00 AM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
Aztech5018_FACA3,00:26:75:DF:AC:A0,14.68005657,121.0839386,wpa,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
SAPIDO-URVAN VS1451,00:D0:41:D6:D1:C3,14.68227959,121.08493042,wep,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
HUAWEI-E5330-D6C7,20:08:ED:AE:D6:C7,14.68583965,121.0868454,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
Ford Commonwealth,20:AA:4B:B3:A2:49,14.67249203,121.07949829,wpa2,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
BRAVO MEDIA,20:AA:4B:D3:58:76,14.67236423,121.07935333,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
FCM Internal,20:AA:4B:8B:25:E4,14.6732378,121.08040619,wpa2,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
HNMKTG_2,20:AA:4B:82:2B:A3,14.67195415,121.07898712,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
AFNI Conference Room,20:C9:D0:21:FE:B5,14.68219566,121.08509827,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
ECCONF,10:BF:48:3A:95:68,14.6713295,121.07889557,wpa2,infra,20130507-00000,"2013-05-07, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
MobileWiFi-b904,10:C6:1F:EB:B9:04,14.68117237,121.08434296,wpa2,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
Engr. SARIP,10:FE:ED:40:43:CA,14.67243004,121.07931519,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
HUAWEI DE GUZMAN,24:DF:6A:14:99:0B,14.67687511,121.07387543,wpa2,infra,20170107-00000,"2001-01-01, 04:00:00 PM","2017-01-07, 11:00:00 PM","2017-01-07, 11:00:00 PM"
