Total No. of APs,1365
Box no.,Total APs
0,121
MAC,Persistence,Dates Seen
58:70:c6:f1:65:7a,2,"03/14/2018,"
f2:9f:c2:4f:fc:46,7,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:47:ad:f2,6,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
cc:79:cf:f2:f2:15,1,"03/14/2018,"
34:ba:9a:56:5b:09,1,"03/14/2018,"
c8:93:46:48:70:90,10,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:4c:43,8,"03/14/2018, 04/02/2018, 04/05/2018,"
90:61:0c:2d:d3:09,13,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:4c:7f,5,"03/14/2018, 04/03/2018, 04/05/2018,"
34:97:f6:5d:3b:d8,9,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:cc:21:05,3,"03/14/2018, 04/02/2018, 04/05/2018,"
1c:74:0d:17:57:88,10,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
5c:6a:80:a3:6f:2b,6,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
90:61:0c:2d:88:5b,11,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
f0:9f:c2:27:9d:b9,4,"03/14/2018, 04/02/2018, 04/05/2018,"
00:13:33:e1:7d:fc,9,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018,"
00:13:33:db:90:5c,9,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
cc:06:77:21:70:80,10,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
78:c1:a7:23:48:66,6,"03/22/2018, 04/05/2018,"
cc:06:77:6e:c9:98,2,"03/22/2018, 04/03/2018,"
cc:06:77:e1:80:f8,7,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
90:61:0c:3a:11:bd,3,"03/22/2018, 04/02/2018, 04/03/2018,"
36:69:87:89:13:e6,1,"03/22/2018,"
36:69:87:a1:89:8f,7,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
94:0e:6b:b8:df:00,1,"03/22/2018,"
48:f8:b3:0f:d9:65,11,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
84:16:f9:35:36:c2,3,"04/02/2018, 04/03/2018,"
a0:f3:c1:a4:4d:8a,1,"04/02/2018,"
08:62:66:5c:f2:61,1,"04/02/2018,"
00:19:be:81:32:e2,8,"04/02/2018, 04/03/2018, 04/05/2018,"
cc:06:77:60:54:f8,2,"04/02/2018, 04/03/2018,"
fe:ec:da:07:01:a2,1,"04/02/2018,"
08:95:2a:89:35:37,4,"04/02/2018, 04/03/2018, 04/05/2018,"
f4:e3:fb:e5:49:fc,6,"04/02/2018, 04/03/2018, 04/05/2018,"
8c:dc:d4:68:9b:98,1,"04/02/2018,"
34:ba:9a:4f:d6:58,1,"04/02/2018,"
34:ba:9a:56:0e:b5,1,"04/02/2018,"
e4:7d:eb:0f:16:e7,4,"04/02/2018, 04/03/2018, 04/05/2018,"
00:26:75:f6:01:38,4,"04/02/2018, 04/03/2018, 04/05/2018,"
50:9f:27:0c:3f:19,1,"04/02/2018,"
c8:93:46:48:4c:ae,9,"04/02/2018, 04/03/2018, 04/05/2018,"
48:f8:b3:a9:6d:bc,1,"04/02/2018,"
f2:9f:c2:27:9d:b9,2,"04/02/2018, 04/03/2018,"
02:9f:c2:27:9d:b9,3,"04/02/2018, 04/05/2018,"
96:3b:ad:10:26:8e,2,"04/02/2018, 04/05/2018,"
88:d2:74:86:cf:41,9,"04/02/2018, 04/03/2018, 04/05/2018,"
34:bf:90:38:94:28,1,"04/02/2018,"
fa:8f:ca:68:dd:3c,2,"04/02/2018, 04/03/2018,"
08:95:2a:e4:85:d8,1,"04/02/2018,"
00:13:33:e1:c7:ec,2,"04/02/2018, 04/03/2018,"
fe:a6:67:54:8e:71,3,"04/02/2018, 04/03/2018,"
80:2a:a8:41:e9:d6,5,"04/02/2018, 04/03/2018,"
90:61:0c:2d:ad:fb,1,"04/02/2018,"
